image_name,vuln_id,severity,count,related_vuln,r_count
jenkins:2.60.3,GHSA-qw69-rqj8-6qw8,Medium,1,CVE-2023-26048,0
jenkins:2.60.3,GHSA-9rgv-h7x4-qw8g,Medium,1,CVE-2018-12536,0
jenkins:2.60.3,GHSA-7vx9-xjhr-rw6h,Medium,1,CVE-2019-10241,0
jenkins:2.60.3,GHSA-p26g-97m4-6q7c,Low,1,CVE-2023-26049,0
jenkins:2.60.3,GHSA-m6cp-vxjx-65j6,Low,1,CVE-2021-34428,0
jenkins:2.60.3,GHSA-g3wg-6mcf-8jj6,High,1,CVE-2020-27216,0
jenkins:2.60.3,GHSA-q446-82vq-w674,Medium,2,CVE-2016-5725,0
jenkins:2.60.3,GHSA-m72m-mhq2-9p6c,High,1,CVE-2021-37714,0
jenkins:2.60.3,GHSA-gp7f-rwcx-9369,Medium,1,CVE-2022-36033,0
jenkins:2.60.3,GHSA-48rh-qgjr-xfj6,Medium,1,CVE-2015-6748,0
jenkins:2.60.3,GHSA-64mj-3p92-589v,High,2,CVE-2022-34176,0
jenkins:2.60.3,GHSA-4rj6-9pjh-882r,High,2,CVE-2018-1000056,0
jenkins:2.60.3,GHSA-298r-5c48-7q2r,High,2,CVE-2022-45380,0
jenkins:2.60.3,GHSA-x9gm-m8pp-54vx,Medium,2,CVE-2018-1000411,0
jenkins:2.60.3,GHSA-ph74-8rgx-64c5,Medium,2,CVE-2023-25761,0
jenkins:2.60.3,GHSA-c9qp-6556-jwwp,Medium,1,CVE-2023-32978,0
jenkins:2.60.3,GHSA-x9rg-q5fx-fx66,Medium,2,CVE-2017-12197,0
jenkins:2.60.3,GHSA-6g57-h38c-q52g,High,1,CVE-2018-8718,0
jenkins:2.60.3,GHSA-85rq-hp8x-ghjq,Medium,1,CVE-2022-20613,0
jenkins:2.60.3,GHSA-6fr3-286q-q3cr,Medium,1,CVE-2020-2252,0
jenkins:2.60.3,GHSA-558x-h7rg-997v,Medium,1,CVE-2022-20614,0
jenkins:2.60.3,GHSA-9v72-p5p3-9w65,Low,1,CVE-2017-2651,0
jenkins:2.60.3,GHSA-vr6v-wjfw-rxcr,High,1,CVE-2020-2226,0
jenkins:2.60.3,GHSA-96jw-3xw4-mq9p,Medium,1,CVE-2021-21623,0
jenkins:2.60.3,GHSA-qxf8-8837-hq7w,Critical,2,CVE-2019-1003031,0
jenkins:2.60.3,GHSA-w43x-5f8f-686p,High,2,CVE-2020-2225,0
jenkins:2.60.3,GHSA-h6qc-455m-7v6v,High,2,CVE-2020-2224,0
jenkins:2.60.3,GHSA-vqwg-4v6f-h6x5,Medium,2,CVE-2022-20615,0
jenkins:2.60.3,GHSA-cjgm-9vc9-56mx,Medium,2,CVE-2024-23900,0
jenkins:2.60.3,GHSA-2f88-5hg8-9x2x,Critical,2,CVE-2021-26291,0
jenkins:2.60.3,GHSA-qhxw-54m9-6wwc,Medium,2,CVE-2017-1000397,0
jenkins:2.60.3,GHSA-hr96-qfvm-52r6,Medium,2,CVE-2019-10358,0
jenkins:2.60.3,GHSA-xqwq-jxjh-wj82,Medium,1,CVE-2019-10319,0
jenkins:2.60.3,GHSA-g6ph-x5wf-g337,High,1,CVE-2022-4244,0
jenkins:2.60.3,GHSA-jcwr-x25h-x5fh,Medium,1,CVE-2022-4245,0
jenkins:2.60.3,GHSA-xvxq-hq48-xphm,Critical,1,CVE-2019-1003029,0
jenkins:2.60.3,GHSA-f6mq-6fx5-w2ch,Critical,1,CVE-2022-43403,0
jenkins:2.60.3,GHSA-ccr8-4xr7-cgj3,Critical,1,CVE-2020-2279,0
jenkins:2.60.3,GHSA-72gx-qq2m-6xr2,Critical,1,CVE-2019-10431,0
jenkins:2.60.3,GHSA-3pv3-jj4h-p528,Critical,1,CVE-2019-1003040,0
jenkins:2.60.3,GHSA-x5jm-rj37-5qh7,High,1,CVE-2019-1003005,0
jenkins:2.60.3,GHSA-x25x-j4w4-7m59,High,1,CVE-2019-10356,0
jenkins:2.60.3,GHSA-qvmf-36h5-3f5v,High,1,CVE-2020-2110,0
jenkins:2.60.3,GHSA-qvhf-3567-pc4v,High,1,CVE-2020-2135,0
jenkins:2.60.3,GHSA-p56j-x44h-g66j,High,1,CVE-2019-10355,0
jenkins:2.60.3,GHSA-p4p5-3v2j-w5rv,High,1,CVE-2018-1000865,0
jenkins:2.60.3,GHSA-jgpm-2862-q5m8,High,1,CVE-2019-1003024,0
jenkins:2.60.3,GHSA-h7rx-r733-7x7r,High,1,CVE-2017-1000107,0
jenkins:2.60.3,GHSA-gqhm-4h93-rrhg,High,1,CVE-2018-1000866,0
jenkins:2.60.3,GHSA-fv42-mx39-6fpw,High,1,CVE-2022-45379,0
jenkins:2.60.3,GHSA-7vr5-72w7-q6jc,High,1,CVE-2022-43401,0
jenkins:2.60.3,GHSA-784j-h234-m56x,High,1,CVE-2019-1003000,0
jenkins:2.60.3,GHSA-76qj-9gwh-pvv3,High,1,CVE-2023-24422,0
jenkins:2.60.3,GHSA-6q78-6xvr-26fg,High,1,CVE-2019-1003001,0
jenkins:2.60.3,GHSA-62pm-mgrh-7p69,High,1,CVE-2019-16538,0
jenkins:2.60.3,GHSA-27rf-8mjp-r363,High,1,CVE-2022-43404,0
jenkins:2.60.3,GHSA-r9jf-hf9x-7hrv,Medium,1,CVE-2017-1000505,0
jenkins:2.60.3,GHSA-qwgx-mrv5-87j8,Medium,1,CVE-2022-30946,0
jenkins:2.60.3,GHSA-q87g-7mp5-765q,Medium,1,CVE-2020-2190,0
jenkins:2.60.3,GHSA-m68x-cc2f-gr5h,Medium,1,CVE-2017-1000095,0
jenkins:2.60.3,GHSA-m26f-w3h5-62fj,Medium,1,CVE-2019-10399,0
jenkins:2.60.3,GHSA-hvmx-5hv4-f235,Medium,1,CVE-2019-10394,0
jenkins:2.60.3,GHSA-9fp8-64xf-w957,Medium,1,CVE-2019-10393,0
jenkins:2.60.3,GHSA-76q7-r3g4-wvm4,Medium,1,CVE-2019-10400,0
jenkins:2.60.3,GHSA-36p3-wjmg-h94x,Critical,2,CVE-2022-22965,0
jenkins:2.60.3,GHSA-hh26-6xwr-ggv7,High,1,CVE-2022-22970,0
jenkins:2.60.3,GHSA-p5hg-3xm3-gcjg,Critical,1,CVE-2018-1270,0
jenkins:2.60.3,GHSA-3rmv-2pg5-xvqj,Critical,1,CVE-2018-1275,0
jenkins:2.60.3,GHSA-pgf9-h69p-pcgf,High,1,CVE-2015-5211,0
jenkins:2.60.3,GHSA-ffvq-7w96-97p7,High,1,CVE-2018-15756,0
jenkins:2.60.3,GHSA-8crv-49fr-2h6j,High,1,CVE-2016-5007,0
jenkins:2.60.3,GHSA-4487-x383-qpph,High,1,CVE-2018-1272,0
jenkins:2.60.3,GHSA-rcpf-vj53-7h2m,Medium,1,CVE-2018-1257,0
jenkins:2.60.3,GHSA-g8hw-794c-4j9g,Medium,1,CVE-2018-1271,0
jenkins:2.60.3,GHSA-4wrc-f8pq-fpqp,Critical,1,CVE-2016-1000027,0
jenkins:2.60.3,GHSA-xjrf-8x4f-43h4,Medium,1,CVE-2013-6430,0
jenkins:2.60.3,GHSA-g6hf-f9cq-q7w7,Medium,1,CVE-2013-6429,0
jenkins:2.60.3,GHSA-6v7w-535j-rq5m,Medium,1,CVE-2015-3192,0
jenkins:2.60.3,GHSA-2m8h-fgr8-2q9w,High,1,CVE-2016-9878,0
jenkins:2.60.3,GHSA-8cmm-qj8g-fcp6,Medium,1,CVE-2014-0054,0
jenkins:2.60.3,GHSA-x654-4wjh-74q6,Medium,2,CVE-2017-2648,0
jenkins:2.60.3,GHSA-fhw8-8j55-vwgq,Critical,2,CVE-2022-45047,0
jenkins:2.60.3,GHSA-mjmq-gwgm-5qhm,Medium,1,CVE-2023-35887,0
jenkins:2.60.3,GHSA-x3pr-fcgm-wjgc,Medium,1,CVE-2020-2111,0
jenkins:2.60.3,GHSA-wpr6-qvcq-8269,Medium,1,CVE-2022-29046,0
jenkins:2.60.3,GHSA-w9gq-8q35-3jcc,Medium,1,CVE-2018-1000111,0
jenkins:2.60.3,GHSA-vp5f-8jgw-j53c,Medium,1,CVE-2020-2304,0
jenkins:2.60.3,GHSA-q58j-fhj7-j6fg,Medium,1,CVE-2021-21698,0
jenkins:2.60.3,GHSA-m5cw-c64p-77h6,Medium,1,CVE-2022-29048,0
jenkins:2.60.3,GHSA-hrwc-pqfm-g6qf,Medium,1,CVE-2017-1000085,0
jenkins:2.60.3,GHSA-pwvj-6phx-qv8c,High,1,CVE-2018-1000014,0
jenkins:2.60.3,GHSA-xhw3-wmx2-76wf,Medium,2,CVE-2022-30950,0
jenkins:2.60.3,GHSA-p566-wpxx-574m,Medium,2,CVE-2022-30951,0
mongo:jammy,GHSA-45x7-px36-x8w8,Medium,8,CVE-2023-48795,0
openjdk:22-oracle,ELSA-2024-12135,Medium,1,CVE-2024-0553,0
openjdk:22-oracle,ELSA-2022-9221,Medium,1,CVE-2021-20232,0
openjdk:22-oracle,ELSA-2022-9221,Medium,1,CVE-2021-3580,0
openjdk:22-oracle,ELSA-2022-9221,Medium,1,CVE-2021-20231,0
openjdk:22-oracle,ELSA-2022-9564,High,1,CVE-2021-40528,0
openjdk:22-oracle,ELSA-2022-9263,Medium,1,CVE-2021-33560,0
couchbase:enterprise-7.1.6,GHSA-hr8g-6v94-x4m9,Medium,1,CVE-2023-33201,0
couchbase:enterprise-7.1.6,GHSA-xqr8-7jwr-rhp7,High,1,CVE-2023-37920,0
couchbase:enterprise-7.1.6,GHSA-4265-ccf5-phj5,High,2,CVE-2024-26308,0
couchbase:enterprise-7.1.6,GHSA-cgwf-w82q-5jrr,Medium,1,CVE-2023-42503,0
couchbase:enterprise-7.1.6,GHSA-x4qr-2fvf-3mr5,High,1,CVE-2023-0286,0
couchbase:enterprise-7.1.6,GHSA-6vqw-3v5j-54x4,High,1,CVE-2024-26130,0
couchbase:enterprise-7.1.6,GHSA-3ww4-gg4f-jr7f,High,1,CVE-2023-50782,0
couchbase:enterprise-7.1.6,GHSA-w7pp-m8wf-vj6r,Medium,1,CVE-2023-23931,0
couchbase:enterprise-7.1.6,GHSA-jfhm-5ghh-2f97,Medium,1,CVE-2023-49083,0
couchbase:enterprise-7.1.6,GHSA-9v9h-cgj8-h64p,Medium,1,CVE-2024-0727,2
couchbase:enterprise-7.1.6,GHSA-9w9f-6mg8-jp7w,Medium,3,CVE-2022-31022,0
couchbase:enterprise-7.1.6,GHSA-crp2-qrr5-8pq7,High,1,CVE-2022-23648,0
couchbase:enterprise-7.1.6,GHSA-hmfx-3pcx-653p,Medium,1,CVE-2023-25173,0
couchbase:enterprise-7.1.6,GHSA-c72p-9xmj-rx3w,Medium,1,CVE-2021-32760,0
couchbase:enterprise-7.1.6,GHSA-c2h3-6mxw-7mvq,Medium,1,CVE-2021-41103,0
couchbase:enterprise-7.1.6,GHSA-6g2q-w5j3-fwh4,Medium,1,CVE-2021-21334,0
